project_scale_tier,project_complexity_tier,planned_budget,planned_duration,scope_variability_index,stakeholder_multiplicity_index,financial_uncertainty,technical_uncertainty,environmental_uncertainty,planning_maturity_score,contract_type,contingency_buffer_ratio,team_experience_score,supplier_dependency_index,regulatory_complexity_score,cost_overrun_pct,schedule_overrun_pct
large,high,32936471.822673436,374.1529694887009,0.5470555941322975,0.4437666638572672,0.20870239786947498,0.8444896184951362,0.23041512162560732,0.6545478920425246,target_cost,0.2868224248455801,0.8172402911280208,0.2474720112793262,0.37747203334564383,0.026384672542202076,0.07765535190182056
small,high,2947057.0076102037,156.13264326439614,0.3263501769867897,0.561000951622917,0.3944114831615195,0.7676839151326932,0.11211100881251526,0.4567736753761313,target_cost,0.09144476140528146,0.7443277717037482,0.26947108320304247,0.2437485528886254,-0.04390550079599871,-0.018782480147422766
medium,low,6289325.027039969,123.35150582698436,0.5753877042549105,0.033759734095232974,0.09549238004771429,0.0250719792129471,0.5995436323048657,0.9135239198983607,fixed_price,0.47645848355165704,0.3326606717497599,0.26368973171306187,0.4644829483879117,-0.09058837797534677,-0.14778005635521016
medium,moderate,18710474.11259063,207.396606784972,0.3154089170345002,0.3410997896142014,0.48273640044035016,0.3485274157573725,0.19464440788637133,0.49583587413631336,hybrid_other,0.4036818862038359,0.4526902275160902,0.2380852717220796,0.2965849533689744,0.055847058821302774,0.056934183093907645
small,moderate,1253883.3923983662,107.58996218715323,0.38277818331276736,0.31745827998399356,0.31426096350422417,0.5383491770468901,0.6485174684089698,0.6286071377122125,fixed_price,0.33752380767924284,0.6794481169563997,0.5172584581723809,0.7613253334309757,-0.06750517851170651,-0.06428273665291019
small,moderate,2220113.804799409,50.16834499076898,0.30239306001783156,0.20266222617642307,0.45445873589764424,0.3758623315460741,0.17279657355781272,0.5276343497440664,fixed_price,0.24263404164727403,0.7952719804522131,0.21859524128187335,0.3364288019815648,-0.1330210666874785,-0.16301390555858175
medium,moderate,7141055.351551259,350.7999444598102,0.10053597303742383,0.2653442569681275,0.9187632075795364,0.19958821773397878,0.12076336486731336,0.8664270170812015,fixed_price,0.5951907834369952,0.6962296812381379,0.33465395984029733,0.5488229837586276,-0.03243154081257848,-0.07983018972170527
small,moderate,1881999.2731754403,55.95176325544167,0.039228359261795714,0.20044192702282668,0.3047656889976727,0.5324808796793261,0.44038279898385724,0.7333153528429761,fixed_price,0.14685740597148889,0.4523469299137691,0.48981816202836437,0.3399597441636856,-0.15000000000000002,-0.14722726288899712
medium,high,6855436.003237426,193.98850581346755,0.6412279843212113,0.42954351998022733,0.28236705586933697,0.6518201489806533,0.38725630914239484,0.9069502347634615,cost_reimbursable,,0.288884985100322,0.2982573415764622,0.325240500080841,0.05255125486244919,0.015281497784974405
medium,low,7692024.844539529,191.71003146865098,0.2454300940186322,0.25827270247271167,0.17089390427263093,0.5281441755890813,0.3022794365865357,0.5680320365173839,hybrid_other,0.16365268650760198,0.559386284999409,0.35173497956085614,0.36646496192988265,-0.0011189558362194579,0.058648745489041636
large,moderate,45852420.482379116,333.70411360341916,0.34464361369102015,0.3226196805482036,0.7025807988552757,0.3146224299899498,0.0599370802084923,0.43942094798005016,fixed_price,0.31574068260768917,0.6294737792681028,0.07017925772894418,0.2296972589617437,0.0815833487835785,0.14877097469605935
medium,high,14893312.47323446,134.5814035926316,0.3828669521910604,0.4842438106935954,0.40657393651220264,0.7590215690275027,0.521073863573489,0.8205632074423791,cost_reimbursable,0.33875178382330434,0.8583689084480701,0.5118007234429551,0.4747922709683489,0.05593789235323964,0.052945720384971626
small,high,1980440.539972186,138.50425683920608,0.2630220866789249,0.3201775753153073,0.3427279090922874,0.42307352755755007,0.41917868011695003,0.705347180037594,target_cost,0.19743032778130823,0.7635618219797186,0.5960084896930274,0.4277940672062716,-0.12184358900739586,-0.12533364555722773
large,moderate,45080681.181680925,160.10870814307447,0.5669628934869331,0.44637465356673567,0.4281088255371121,0.21535268924206416,0.5632307755140764,0.4879191955544444,target_cost,,0.9650039867795606,0.33861688596068706,0.2307975366355023,0.029075829098713365,0.06976355911032481
large,moderate,20482495.226413976,291.10047559341274,0.5345109171711416,0.2930504918548381,0.19005920906105112,0.8451768657434247,0.6810765589990638,0.7153836504164274,hybrid_other,0.21330804937508896,0.8641892703037446,0.4974593840864287,0.35466857731397455,0.06338862881401952,0.11129187456224791
medium,low,10835050.301225545,130.90215416875287,0.14250926097317135,0.17123188964612607,0.10003790844485269,0.2791047162241356,0.5592281416352112,0.3270026257638579,cost_reimbursable,0.17085973052262438,0.6615245235131952,0.22324529511351118,0.11078756330396239,0.04782253563412992,0.04792976272380118
small,moderate,1334095.9209195327,75.87451241315034,0.3002565548998638,0.39128692559632616,,0.043691002920517086,0.5457132901584636,0.7449933560624019,hybrid_other,0.29616612081028454,0.5466248860361548,,0.2582419174338251,-0.11747250742400792,-0.1434999095469158
medium,high,12828029.850414174,194.70763289646916,0.6125717190923139,0.48021927571470363,,0.30852844942418134,0.23095532572861807,0.5008357753083638,cost_reimbursable,0.22357300025570379,0.8750761653530349,0.23763220384074787,0.2936756774150516,0.122265442582427,0.17138631802474097
small,moderate,6259014.210059461,153.0847082820741,0.2706805090607072,0.545690116111401,0.30939192333185295,0.28583772733523355,0.057447142081036524,0.7820868618750065,fixed_price,0.3024004205798706,0.6770015838517297,0.2861344739240012,0.6384749522625865,-0.051184917537997206,-0.024739436992531037
small,moderate,1860798.7300199496,86.72114103231665,0.07020381971189535,0.34593936773269407,0.1344474442214455,0.40201060062606586,0.3398058811341365,0.7923880497451737,fixed_price,0.11355920255723498,0.3584807474985371,0.3443693951292568,0.17965468741305654,-0.15000000000000005,-0.170233376726795
small,low,634046.3796590847,135.94799677680325,0.19327742481206894,0.22330726422472197,0.7990422233324148,0.1780852118912194,0.1885706808367948,0.43027780090424567,cost_reimbursable,0.17923187517200947,0.7526099215216271,0.3480919160095749,0.561900382823297,-0.03128286104840485,-0.03728905848130261
large,low,22186666.864207312,304.873295644294,0.20299468921734598,0.4695289778290943,0.31947089127342243,0.43569414955769564,0.35411080995271255,0.7081340732302361,target_cost,0.7011573453245227,0.9035181077237772,0.4481093684693431,0.3641529690395929,-0.04004283505636946,-0.09148115872541297
medium,high,13805464.773635851,114.76735924294557,0.6247337475651273,0.3842850768245008,0.4444873631865116,0.7231956795138621,0.5006510388043134,0.8023016293395471,fixed_price,,0.4054359101344366,0.33048309617340116,0.8005726974238289,0.015182513982314056,0.04787212245002251
medium,high,9699645.81852767,147.9418309972283,0.6272432132210807,0.7007081837994416,0.701621489207313,0.789955178901527,0.6091480353445584,0.3287389958982814,cost_reimbursable,0.31106667515252345,0.7028518161429685,0.2572080184892043,0.428097396436905,0.2181113229407727,0.23675917545921127
large,low,33579793.876429476,265.12612169282716,0.44613933135851114,0.30933304886736096,0.184554525086359,0.4134252042718018,,0.6303284713422215,fixed_price,0.09040574194513518,0.6335580863173952,0.09740076621480502,0.2304480475299483,0.031333753937350294,0.062301730052075587
medium,moderate,12292594.244847966,124.13082316709612,0.3260450963338329,0.39601684334102805,0.3383341437636811,0.25828099531665555,0.28813491027998606,0.5931876194310635,fixed_price,0.14233328385537453,0.25901164429526824,0.21848358778906674,0.29144369191939307,-0.02425416250437331,-0.020470343047366654
medium,moderate,9359625.04549298,194.68700597731097,0.2633246813398977,0.445313083020179,0.14235015547524188,0.3671327241789078,0.4178949958592948,0.8259787892165763,fixed_price,0.17019680039764548,0.777759727964421,0.04035459325651824,0.2474597857195841,-0.12614225877520402,-0.12903420592842005
small,moderate,3734845.8258389807,109.27399842627672,0.5491937223164933,0.34253109812685184,0.2338367641247579,0.32762510198363376,0.15164221630453667,0.8222368383232613,hybrid_other,0.16137595289253842,0.35406151490060583,0.3253500004991363,0.7276290270013663,-0.0415628540541978,-0.0807572792196456
small,low,3198205.124636527,52.65389003691015,1e-06,0.30394518215397753,0.12162427995956653,0.593828713089792,0.09694480458019505,0.7997086809672436,hybrid_other,0.2403566206921003,0.6972780660270456,0.14447801192257517,0.6396469133936576,-0.08853628329159104,-0.1664799418544704
medium,high,16051040.52124792,84.72321100062192,0.31304297051245367,0.2091306182084069,0.5395918442882365,0.49889652430685516,0.41185102674652985,0.8279129513690995,target_cost,0.24220181595694332,0.5010022763215284,0.4198155597493537,0.2007108755854961,-0.08037622475263045,-0.0983411851594425
medium,moderate,8767602.603450822,194.39142506048404,0.3055982886756101,0.2389504504205053,0.4536801087368979,0.17123218107585944,0.5557824222303683,0.8613586589576743,fixed_price,0.36045982054143316,0.8325371605190117,0.3952971538254358,0.22097620594638046,-0.08514831519567308,-0.12626251122921517
medium,moderate,11649046.495852487,118.37829998302385,0.3900192065804403,0.35953655093184683,0.45402294824313405,0.2794515595929699,0.19761943895723597,0.476514016501348,hybrid_other,0.3225836847999977,0.5373622339196786,,0.29859954823273904,0.009900437416904518,0.04078622359882104
large,low,25148125.577110644,337.2472908655324,0.2749009702094465,0.5756942884564622,0.11732353188398639,0.7119376459885569,0.6162443253861403,0.8466304416434531,fixed_price,0.25686668025369586,0.5772939964799259,,0.4683188713846001,-0.02188576308172804,0.004699562390987201
medium,moderate,5321364.843737434,224.162812924149,0.34654966062045817,0.3039404835812849,0.1264313664756266,0.24084041521596805,0.39481727880527917,0.6187756886380329,fixed_price,0.09808152771619087,0.7343566242639873,0.09666131135131012,0.5256181050837369,-0.0798131174065566,-0.008733646481206279
medium,moderate,17672479.782505836,98.65400848438378,0.11233702464197637,0.25805313997631957,0.31044183860254393,0.2034505340709428,0.263106247994876,0.8327161314263781,fixed_price,0.2276673100706181,0.3763722193842338,0.3069985709080942,0.1669100673138379,-0.1043671442164057,-0.12122431740251868
medium,moderate,8141023.211096125,93.25942242296338,0.29397522884617655,0.33191654356623773,0.15732536846479303,0.23589532742777145,0.28865528402722096,0.6575826302579451,fixed_price,0.0988916020188029,0.7813846412554706,0.21678420664233378,0.19744678066947877,-0.09957949522711018,-0.0941194069273972
small,high,3013274.424894356,194.3717714628483,0.6655955308472412,0.5168616845902098,0.1964479983810795,0.36612409842898436,0.24388843621026554,0.47956852340670225,fixed_price,0.22977311241348358,0.5377288928792242,0.31201456957908436,,-0.00905092229284103,0.04038731166410731
small,low,2114533.5607629283,114.50612479064048,0.44320454250603847,0.39207767370263297,0.650985451423916,0.18807079324288611,0.21528930817979725,0.8395247696028882,fixed_price,0.370594003628298,0.9397113189993946,0.6928635432257714,0.3450236236176676,-0.12924002976447677,-0.1427096624846864
medium,low,5362880.854537319,138.6986698747519,0.28847995033870205,0.24366866801475856,0.3652971838839092,0.4170505053840074,0.061913006117023106,0.6380291512644614,fixed_price,0.054248655830179245,0.430821607480211,0.34727887294100673,0.5858781108924099,-0.06931582168274238,0.06348803217996286
small,moderate,1994115.4053695125,68.4719258011918,0.08915302107599696,0.3234678709890915,0.3930195829696028,0.18406924310291523,0.5886139509753493,0.4684544955825197,target_cost,0.3140723262773092,0.5709345990567689,0.2696001714819354,0.49192340890474573,-0.1227001521445339,-0.10397200770146311
medium,low,15351394.722019948,133.73010946505497,0.1491969715534111,0.06489098338949009,0.345458517130415,0.3761204281307598,1e-06,0.8343537722221546,hybrid_other,0.05630091196226143,0.343966311036748,0.2540577443165366,0.46600145394973086,-0.04518554355431619,-0.08317153139873132
large,moderate,39378275.48714345,185.63289962516222,0.25756036822658906,0.3570338516889167,0.6581770085002735,0.329391260398503,0.6087071739071799,0.7510285324069198,hybrid_other,0.3806200490649681,0.3565610966092918,0.28466809565672735,0.4597544592785193,0.024703591793347173,0.08836710999635326
small,moderate,814259.1471743971,141.65079938415852,0.26757244812945236,0.3800368948256628,0.15726785736386018,0.47365216548897765,0.5566100887460673,0.8107531431695048,target_cost,0.1549285191847258,0.9286876575687439,0.5482326364075287,0.24562579769894108,-0.15,-0.17999999999999988
small,low,1772803.7353738386,72.91537619803398,0.0671891892066741,0.18557338910396787,0.5190183969059954,0.6103260096428429,0.17680591059261597,0.999999,target_cost,0.15065952402186258,0.30700540510168334,0.9257716077920349,0.17106840064694123,-0.14999999999999997,-0.17999999999999997
small,moderate,5009230.017893439,154.0710462455956,0.06275620797581645,0.3114710812683293,0.05680234354564023,0.4854972849466712,0.49870231007498356,0.2697989905800115,cost_reimbursable,0.4099025944146087,0.7278742995888816,0.23907982216735316,0.5206856405526099,0.013610801261278511,0.07094132747684738
small,high,1774138.714458774,84.75361770142588,0.3533747712499272,0.7380651299674809,0.6354438250840693,0.3294299752029017,0.24076916644572038,0.6541370137488821,hybrid_other,0.4483120532663369,0.20422833956943728,0.47091430359536596,0.8548426013265643,-0.017212844649143386,-0.016882159330040634
medium,high,2852627.565453865,108.05711463522331,0.6714234230971481,0.29881276166787724,0.8365448914045964,0.5382962355943609,0.19414773468847157,0.7943284713696006,fixed_price,0.15622128448607053,0.7562691579802319,0.6564945159989278,0.11163273353476641,-0.034962246034972284,-0.05436937432959538
medium,moderate,19470000.838599045,138.30748584550494,0.13165673769204497,,,0.3264643647112541,0.47755812741746845,0.4337602828282282,target_cost,0.3665842844510797,0.6989627469139799,0.2668047771046206,0.3753263169812182,0.028239892931022054,0.006868672635054008
large,low,42069943.18601575,104.61984841168983,0.44349480178437656,0.3169520268001553,0.16859084915317551,,0.12615176480027487,0.6246737658228569,fixed_price,0.1893259836565972,0.33539851388087805,0.208270996199161,0.47260907203289004,0.07593162124641689,0.003837931829136793
medium,high,7015224.777520128,156.28676693665068,0.43325025280988183,0.7272075428768185,0.3306173249480508,0.2545918145911067,0.19272468209980023,0.5022619404748406,fixed_price,0.2448798257643691,0.5627346226877756,0.2339445681577386,0.4777305729756415,0.07966724773980038,0.009127300373489487
medium,low,5997556.997760015,153.23187906455303,0.49871458600429214,0.33694149072270585,0.3219277201590287,0.10645995872326784,0.305972542963271,0.7801569706096272,cost_reimbursable,0.17697727878209976,0.3740781469672352,0.2309602432258831,0.9153264575591373,-0.0201245088758231,0.012869880598642225
large,moderate,51795975.10274783,415.6722539323022,0.19678380254111716,0.14191666886690088,0.610241773846769,0.655989216599063,0.6420749619882516,0.4698186904052054,target_cost,0.0878270218163416,0.4698692974811434,0.19311275523687402,0.4220431478866194,0.07611024240009945,0.07510384049896962
small,moderate,1495795.352770033,46.78104169229373,0.2216916004625507,0.5952746566015547,0.3502237664470553,0.29190562142692944,0.09264221689686802,0.6561171869369644,hybrid_other,0.10905744978565783,0.5829714085968208,0.4352530156679678,0.4977023108353814,-0.06281886982975025,-0.056810103880230056
small,low,3602336.9325384735,158.3403047417947,0.7720167324383889,0.3603642545840119,0.43798225742996844,0.07188092639407954,0.1208167085498722,0.853298157243825,fixed_price,0.43556737466958373,0.48553364692000406,0.14595817973061134,0.36824853906873595,-0.07068191400057404,-0.1767852629678204
small,low,2628546.391686368,138.1361396402243,0.2685602894261267,0.514299841327807,0.4004447927748226,0.5220363025256631,0.21442743037112533,0.722321450433594,fixed_price,0.12609020528947684,0.8089197284507444,0.1679194698733517,0.5944129972748707,-0.0879997905423223,-0.06203182987281622
medium,high,14416786.55567445,270.64755123388056,0.4513856672535018,0.3571153588939713,0.2251980555786114,0.37732225234203565,0.3874223229561725,0.23555536137201888,target_cost,0.37369566861765474,0.6379881417564898,0.4013676064420671,0.29500227008974006,0.0815989976489953,0.06579816310038082
medium,moderate,7847202.829247789,160.5991404848608,0.23072018140464706,0.23969459757591305,0.24114464251838155,,0.14660696661365927,0.6038582350161595,cost_reimbursable,0.05317082222667713,0.8014308377117346,0.2216868550061511,0.4600427457431914,0.020702526674403653,-0.0077848173471859105
small,moderate,1810324.4130459859,149.2404455250678,0.542561546266694,0.7559009376355847,0.09105507243104458,0.26511655294292946,0.07520655138253513,0.46657470049288047,fixed_price,0.24837777999548752,0.8021321659000479,0.10443789559992428,0.18765642387854684,-0.04984908015521561,-0.026662665903307094
medium,moderate,12531209.649912423,91.05852084526623,0.3726490680307521,0.40353879665382597,0.7986356204451895,0.5469566628915263,0.362917262402783,0.7108703628301098,cost_reimbursable,0.17269224573750314,0.23141338857281954,0.25690247117048776,0.2537433774911749,0.10461125998043427,0.1272843495263261
small,moderate,1264290.5936519133,132.31944356995695,0.39207373962201186,0.8549412754741372,0.6336698587898749,0.2130635983242846,0.013847661854370714,0.7989310684154389,target_cost,0.41057914406649526,0.9651936139697253,0.35406065859328606,0.3996896719376045,-0.15000000000000002,-0.11299236960890066
medium,high,3130173.317693413,120.48616043343813,0.6188992759397836,0.38644946127445856,0.3082339633145411,0.3192816730239135,0.36646528897134534,0.3468608294318791,target_cost,0.23012571655031724,0.709913337818416,0.5516539870654473,0.3740496004638021,-0.007207604140974152,0.026694130052545135
medium,low,10014142.120017536,84.72741889411148,0.30494214642270717,0.47569629950316333,0.53193063948297,0.009239364044624138,0.4043670516292668,0.7694875304346709,target_cost,0.16033618277023698,0.593726406085461,0.6391289464799464,0.46457809224400953,-0.08368592089436458,-0.05237356860189696
medium,low,10101999.480603473,104.62094731660599,0.43451387693210514,0.35346068167529937,0.4155561015050334,0.37609143657227473,0.18261340325176278,0.9125586447423684,fixed_price,0.2786423712213304,0.6995208855651966,0.6575696217657067,0.23453404190846336,-0.071103245496656,-0.07604709936025865
small,high,2545214.2759786313,99.70466392393116,0.34101112289177427,0.4327161162363084,0.14792175306656624,0.40589855901494365,,0.5297155753489587,fixed_price,0.41975258259266157,0.877237760339863,0.41413831071750773,0.09605322607445396,-0.10989011778992028,-0.1030338629459527
medium,moderate,8993554.860977964,117.95230132830181,0.5196363129718862,0.25359188915021896,0.508494237216297,0.33919223058110526,0.4236966455358796,0.5093595397561024,fixed_price,0.2880015454607201,0.5910362754997694,0.27372321519358284,0.32068066905750703,-0.029196740682759122,0.005138054803401493
medium,low,6158347.295116322,190.64811760263854,0.0014974421070579752,0.13829299125945027,0.04707929455325735,0.13772696336425128,1e-06,0.999999,fixed_price,0.2566084743171979,0.6462700894347962,0.38447649764998687,0.1795460057949877,-0.15000000000000002,-0.14733315471395486
small,low,2986136.6102336952,48.264918803753304,0.426908816691249,0.4561058433224629,0.19536538116186397,0.18333837231988698,0.489396789806753,0.8433962358990017,fixed_price,0.33964555982894695,0.7969733240513697,0.09377821031395597,0.2247118877416586,-0.15000000000000008,-0.17999999999999988
small,low,1936339.2697165294,42.485421032606155,1e-06,0.5421290367791707,,0.11957578490706007,0.14006563708981978,0.7826654009979368,fixed_price,0.32620809781484206,0.5340911486188501,0.18884255275994347,0.1807329036457683,-0.15000000000000005,-0.18000000000000002
large,high,22901224.721351225,517.4717703780075,0.46248869467026055,0.4921273951631064,0.294236917526273,0.49570897311756573,0.3734343335914213,0.48461396080145563,fixed_price,0.3885031512884353,0.8269043785496508,0.6184972235706291,0.3481608859587601,0.12471469500111769,0.08883355105230695
large,moderate,25085900.610980958,429.0270848401294,0.752881864964847,,0.35012487139227877,0.33989582174604616,0.380849605298067,0.6297823124106221,fixed_price,0.28084769888579453,0.5704334745928307,0.2989093437694012,0.12680518526152373,0.04883721446109288,0.14275166263373193
medium,high,20805598.005965494,107.80038885250407,0.2832533154027391,0.6394701596020302,0.7827529550398935,0.25860651575512217,0.5273657980513391,0.7097686629554343,fixed_price,0.2056530266849317,0.6168574125179205,0.17923330029760903,0.3223746777509683,-0.04786478679299308,0.0021718189608546327
