feature,importance,model_name,target_group
scope_x_technical_uncertainty,0.010417146608233452,cost_overrun_pct__xgboost,cost
composite_risk_index,0.00978279672563076,cost_overrun_pct__xgboost,cost
scale_x_planning_maturity,0.009207317605614662,cost_overrun_pct__xgboost,cost
team_experience_score,0.0047005279920995235,cost_overrun_pct__xgboost,cost
log_planned_duration,0.004613396245986223,cost_overrun_pct__xgboost,cost
scope_variability_index,0.004237070679664612,cost_overrun_pct__xgboost,cost
regulatory_complexity_score,0.0038550354074686766,cost_overrun_pct__xgboost,cost
supplier_dependency_index,0.003708516713231802,cost_overrun_pct__xgboost,cost
financial_uncertainty,0.0025728000327944756,cost_overrun_pct__xgboost,cost
technical_uncertainty,0.001327927689999342,cost_overrun_pct__xgboost,cost
stakeholder_multiplicity_index,0.0012743666302412748,cost_overrun_pct__xgboost,cost
environmental_uncertainty,0.001121607143431902,cost_overrun_pct__xgboost,cost
contingency_buffer_ratio,0.0009496696293354034,cost_overrun_pct__xgboost,cost
planning_maturity_score,0.14938488646044656,schedule_overrun_pct__random_forest,schedule
stakeholder_x_governance,0.14421070499070396,schedule_overrun_pct__random_forest,schedule
log_planned_budget,0.1316537634639884,schedule_overrun_pct__random_forest,schedule
planned_budget,0.12705619122759804,schedule_overrun_pct__random_forest,schedule
project_scale_tier,0.12476833961344987,schedule_overrun_pct__random_forest,schedule
contract_type,0.07684347982592073,schedule_overrun_pct__random_forest,schedule
complexity_x_uncertainty,0.06482973463924832,schedule_overrun_pct__random_forest,schedule
scope_x_technical_uncertainty,0.028952556447689376,schedule_overrun_pct__random_forest,schedule
scope_variability_index,0.018089303673080304,schedule_overrun_pct__random_forest,schedule
composite_risk_index,0.01584043422865154,schedule_overrun_pct__random_forest,schedule
team_experience_score,0.013907703483933814,schedule_overrun_pct__random_forest,schedule
supplier_dependency_index,0.013210258955380076,schedule_overrun_pct__random_forest,schedule
planned_duration,0.01188376534651285,schedule_overrun_pct__random_forest,schedule
log_planned_duration,0.011790492943991992,schedule_overrun_pct__random_forest,schedule
regulatory_complexity_score,0.01076271560237315,schedule_overrun_pct__random_forest,schedule
scale_x_planning_maturity,0.01042318675565559,schedule_overrun_pct__random_forest,schedule
financial_uncertainty,0.009528925312393117,schedule_overrun_pct__random_forest,schedule
stakeholder_multiplicity_index,0.008686611243361678,schedule_overrun_pct__random_forest,schedule
contingency_buffer_ratio,0.008469807991515916,schedule_overrun_pct__random_forest,schedule
technical_uncertainty,0.008419055136010753,schedule_overrun_pct__random_forest,schedule
environmental_uncertainty,0.007767318850766278,schedule_overrun_pct__random_forest,schedule
project_complexity_tier,0.0035207638073278236,schedule_overrun_pct__random_forest,schedule
project_scale_tier,0.5727124214172363,schedule_overrun_pct__xgboost,schedule
contract_type,0.11521326005458832,schedule_overrun_pct__xgboost,schedule
log_planned_budget,0.051943231374025345,schedule_overrun_pct__xgboost,schedule
stakeholder_x_governance,0.042754486203193665,schedule_overrun_pct__xgboost,schedule
planning_maturity_score,0.04275193810462952,schedule_overrun_pct__xgboost,schedule
planned_budget,0.03972913324832916,schedule_overrun_pct__xgboost,schedule
project_complexity_tier,0.038650836795568466,schedule_overrun_pct__xgboost,schedule
complexity_x_uncertainty,0.023929249495267868,schedule_overrun_pct__xgboost,schedule
planned_duration,0.018953535705804825,schedule_overrun_pct__xgboost,schedule
scope_x_technical_uncertainty,0.013995259068906307,schedule_overrun_pct__xgboost,schedule
composite_risk_index,0.0062257940880954266,schedule_overrun_pct__xgboost,schedule
scale_x_planning_maturity,0.00579000124707818,schedule_overrun_pct__xgboost,schedule
scope_variability_index,0.004647293593734503,schedule_overrun_pct__xgboost,schedule
supplier_dependency_index,0.004380801226943731,schedule_overrun_pct__xgboost,schedule
team_experience_score,0.00424411753192544,schedule_overrun_pct__xgboost,schedule
regulatory_complexity_score,0.0031832524109631777,schedule_overrun_pct__xgboost,schedule
financial_uncertainty,0.0022123553790152073,schedule_overrun_pct__xgboost,schedule
stakeholder_multiplicity_index,0.0019701749552041292,schedule_overrun_pct__xgboost,schedule
technical_uncertainty,0.001810671528801322,schedule_overrun_pct__xgboost,schedule
log_planned_duration,0.0018000674899667501,schedule_overrun_pct__xgboost,schedule
environmental_uncertainty,0.0015518863219767809,schedule_overrun_pct__xgboost,schedule
contingency_buffer_ratio,0.0015503407921642065,schedule_overrun_pct__xgboost,schedule
